restaurant_name, cuisine_type, location, price_range, rating
Fisherman's Wharf, Seafood, Panaji, $$, 4.5
Mum's Kitchen, Goan, Panaji, $$$, 4.0
Gunpowder, Indian, Assagao, $$, 4.7
Black Sheep Bistro, Fusion, Panaji, $$$, 4.3
Thirsty Bear, Pub food, Calangute, $$, 4.2
Burger Factory, American, Candolim, $$, 4.1
Viva Panjim, Goan, Panaji, $$$, 4.4
Vinayak Family Restaurant, Indian, Mapusa, $, 4.5
Fishland, Seafood, Margao, $$, 4.2
Baba's Wood Cafe, Italian, Anjuna, $$$, 4.3
Sublime, European, Saligao, $$$, 4.7
Cafe Real, Goan, Panaji, $$, 4.1
The Lazy Goose, Seafood, Nerul, $$$, 4.5
Martin's Corner, Goan, Betalbatim, $$$, 4.2
Cantare, European, Saligao, $$, 4.6
Bomra's, Burmese, Candolim, $$$, 4.4
Ritz Classic, Indian, Panaji, $, 4.1
Soul Souffle, French, Anjuna, $$, 4.3
Navtara Veg Restaurant, Vegetarian, Calangute, $, 4.5
Baba's Little Greece, Greek, Anjuna, $$$, 4.7
Cafe Bodega, Continental, Porvorim, $$, 4.2
Kamlabai, Maharashtrian, Mapusa, $, 4.6
Fish Ka, Seafood, Colva, $$, 4.4
Guru Bar, Indian, Arambol, $$, 4.3
Saraya Art Cafe, Italian, Sangolda, $$$, 4.5
Café Tato, Goan, Panaji, $, 4.3
Pousada By The Beach, Seafood, Calangute, $$$, 4.5
Burgers Factory, Fast Food, Mapusa, $, 4.1
Go with the Flow, European, Baga, $$$, 4.4
Natti's Naturals, Vegetarian, Anjuna, $$, 4.2
Cantina Bodega, Mexican, Saligao, $$$, 4.6
La Plage, French, Ashwem, $$$, 4.7
Baba Au Rhum, French, Anjuna, $$$, 4.2
Cafe Chocolatti, Bakery, Calangute, $, 4.3
Bomra's Kitchen, Asian Fusion, Candolim, $$$, 4.5
Ritz Classic, Indian, Panaji, $, 4.0
Bhojan, Vegetarian, Panaji, $, 4.4
Cafe Inn, Continental, Panaji, $$, 4.3
Vinayak Family Restaurant, Indian, Mapusa, $, 4.2
Baba's Wood Cafe, Italian, Anjuna, $$$, 4.3
The Black Sheep Bistro, Fusion, Panaji, $$$, 4.4
Fisherman's Wharf, Seafood, Panaji, $$$, 4.5
Vinayak Family Restaurant, Indian, Mapusa, $, 4.2
Gunpowder, Indian, Assagao, $$, 4.7
Thirsty Bear, Pub Food, Calangute, $$, 4.2
Burger Factory, American, Candolim, $$, 4.1
Viva Panjim, Goan, Panaji, $$$, 4.3
Sublime, European, Saligao, $$$, 4.7
Cafe Real, Goan, Panaji, $$, 4.1
Baba's Little Greece, Greek, Anjuna, $$$, 4.5
Kamlabai, Maharashtrian, Mapusa, $, 4.6
Fish Ka, Seafood, Colva, $$, 4.4
Guru Bar, Indian, Arambol, $$, 4.3
Saraya Art Cafe, Italian, Sangolda, $$$, 4.5
Tito's, Multi-Cuisine, Baga, $$, 4.2
The Rice Mill, Seafood, Benaulim, $$$, 4.6
Gunpowder Kitchen & Bar, Indian, Panaji, $$, 4.3
Bhojan, Vegetarian, Panaji, $, 4.4
Cafe Inn, Continental, Panaji, $$, 4.3